LocationName|PermitNumber|LocationGridRef|X|Y|LATITUDE|LONGITUDE|ReceivingWaterCourse|AlertStatus|AlertPast48Hours|MostRecentDischargeAlertStart|MostRecentDischargeAlertStop
Norfolk Street|CSAB.0540|TQ30978076|530970|180760|51.510596888856|-0.114104309077561|River Thames|Not discharging|False|2023-03-31T20:14:00|2023-03-31T21:12:00
North Weald|TEMP.2809|TL49570472|549570|204720|51.7212622033373|0.163948279484166|North Weald Brook|Not discharging|True|2023-04-03T19:30:00|2023-04-03T21:30:00
North West Storm Relief|CSAB.0571|TQ23037811|523030|178110|51.4885638903|-0.229382887452997|River Thames|Not discharging|False|2022-12-23T09:38:00|2022-12-23T10:06:00
Northleach|CNTD.0012|SP12331432|412330|214320|51.8273641992828|-1.82249134707637|River Leach|Not discharging|False|2023-04-01T08:15:00|2023-04-01T12:30:00
Northumberland Street|CSAB.0531|TQ30428027|530420|180270|51.5063205446957|-0.122206325905405|River Thames|Not discharging|False|2023-03-31T23:02:00|2023-03-31T23:06:00
Nutter Lane / Preston Drive, Wanstead|CEVR.0138|TQ41628871|541620|188710|51.5794666295262|0.0424589653251607|River Roding|Not discharging|False|2023-03-31T19:15:00|2023-03-31T19:45:00
Oakentrough|CANM.0029|TQ43548382|543540|183820|51.5350422499919|0.0681546293803811|River Roding|Not discharging|False|2023-03-29T19:15:00|2023-03-29T20:30:00
Ockham Road South Foul Sewer Overflow|CTCR.2050|TQ09465388|509460|153880|51.2735652114588|-0.43220723071122|Ockham Brook|Not discharging|None|None|None
Ockley Road|TEMP.1627|TQ095402|509500|140200|51.1505942192547|-0.435805870451924|Cobbler's Brook|Not discharging|False|2022-11-16T20:00:00|2022-11-17T01:30:00
Opposite St Stephens Hall|TEMP.1644|SU623593|462300|159300|51.3293938707888|-1.10720906156301|Bow Brook|Not discharging|True|2023-04-04T05:20:00|2023-04-04T05:24:00
Outside 115 Wentworth Road|CANM.1219|TQ24658813|524650|188130|51.5782591302224|-0.202518485351358|Decoy Brook|Offline|False|None|None
Outside 135 Leeside Crescent (Formerly Brookside Road, Golders Green)|CANM.0917|TQ24278838|524270|188380|51.5805896885962|-0.207911153483757|Decoy Brook|Not discharging|False|2023-01-08T12:15:00|2023-01-08T13:30:00
Oxford|TEMP.2827|SP542022|454200|202200|51.7159184895809|-1.2168679929488|Pottery Stream|Discharging|True|2023-04-04T08:30:00|None
Pangbourne|CTCR.2078|SU64437660|464430|176600|51.4846914900102|-1.07350475465481|Sulham Brook|Offline|False|None|None
Park Town South & West, Luton|CANM.0549|TL10012057|510010|220570|51.8728627059276|-0.403463044809788|River Lee|Not discharging|False|None|None
Passfield|CASM.0309|SU82033444|482030|134440|51.1034023442854|-0.829764106605304|River Wey|Not discharging|None|None|None
Pauls Pier|TEMP.2968|TQ32008081|532000|180810|51.5108067546926|-0.0992519739717447|River Thames|Not discharging|False|2023-03-31T18:46:00|2023-03-31T20:28:00
Pease Pottage|TEMP.2831|TQ261323|526100|132300|51.076178841077|-0.201343941448584|Gatwick Stream|Offline|False|None|None
Penwith Road|TEMP.2841|TQ25887304|525880|173040|51.442373040978|-0.190159629967909|River Wandle|Not discharging|None|None|None
Petersham Road|CSAB.0525|TQ17887437|517880|174370|51.4560463588466|-0.304769382615205|River Thames|Not discharging|False|2023-03-26T17:30:00|2023-03-26T19:15:00
Pinkham Way Storm Sewage O/F, London|CSAC.1088|TQ28679168|528670|191680|51.6092591230251|-0.14323590153983|Bounds Green Brook|Not discharging|False|2022-11-06T09:15:00|2022-11-06T10:45:00
Portsmouth Road, Uxbridge Road|TEMP.2843|TQ17676801|517670|168010|51.3989285090205|-0.309900777511344|River Thames|Offline|False|None|None
Princes Avenue|AB3799WV|TQ41929219|541920|192190|51.6106610314211|0.0481919400388552|River Roding|Offline|False|None|None
Princes Risborough|CTCR.1642|SP79830384|479830|203840|51.7276041011281|-0.845572670632662|Horsenden Stream|Not discharging|False|2023-03-31T22:15:00|2023-04-01T21:00:00
Priory Lane Storm, Mortlake|TEMP.2837|TQ21507552|521500|175520|51.4656172426674|-0.252298403550417|Beverley Brook|Not discharging|False|2023-03-31T20:45:00|2023-03-31T21:45:00
Priory Road, Dartford (Foul)|TEMP.1739|TQ539746|553900|174600|51.4494761707158|0.213391477913595|River Darent|Not discharging|False|2023-03-31T20:45:00|2023-03-31T21:15:00
Prospect Road, Woodford|CANM.0911|TQ4145092450|541450|192450|51.6131154522302|0.0415137410066595|Wells Brook|Not discharging|False|2023-03-31T18:45:00|2023-03-31T20:15:00
Puller Rd/Calvert Rd Storm, Barnet|TEMP.2838|TQ23989716|523980|197160|51.6595583884464|-0.208990334384118|Kitts End Stream|Not discharging|None|None|None
Purton|TEMP.2839|SU08918925|408910|189250|51.6020213704982|-1.87274943850922|Tributary of River Key|Offline|False|None|None
Putney Bridge Street|CSAB.0544|TQ24167564|524160|175640|51.4661189511577|-0.213983191361585|River Thames|Not discharging|False|2023-03-24T17:10:00|2023-03-24T17:22:00
Queen Street|CSAB.0576|TQ27577767|527570|177670|51.4836046715904|-0.164187256695986|River Thames|Not discharging|False|2022-11-06T08:26:00|2022-11-06T08:42:00
Ramsbury|CSSC.2353|SU28857177|428850|171770|51.4441908913161|-1.58627844750447|River Kennet|Not discharging|None|None|None
Ratcliffe Highway Limekiln|TEMP.2864|TQ36018081|536010|180810|51.5098566191026|-0.0415030211048885|River Thames|Not discharging|False|None|None
Ratley|TEMP.2851|SP38434703|438430|247030|52.1202568352003|-1.44013234678916|Tributary of Sor Brook|Not discharging|False|2022-10-23T18:00:00|2022-10-23T19:15:00
Ray Lodge Road (Ray Park 1)|CANM.0717|TQ41869181|541860|191810|51.6072616290386|0.0471723979740889|River Roding|Not discharging|False|2023-03-31T17:30:00|2023-03-31T23:15:00
Reading|CAWM.0942|SU71137072|471130|170720|51.4310280841665|-0.978211410326727|Foundry Brook|Discharging|True|2023-04-04T10:45:00|None
Reading, Blakes Lock|TEMP.1768|SU727734|472700|173400|51.4549224899144|-0.955081940178532|Holy Brook|Not discharging|False|None|None
Reading, Caversham|TEMP.1769|SU728745|472800|174500|51.4647986875547|-0.953416869621476|River Thames|Not discharging|None|None|None
Regent Street|CSAB.0570|TQ30408021|530400|180210|51.505785958249|-0.122516498201897|River Thames|Not discharging|True|2023-04-04T00:54:00|2023-04-04T00:58:00
Ripley|CTCR.2150|TQ04495732|504490|157320|51.3054184430408|-0.502423056563172|River Wey|Not discharging|False|2023-03-31T02:00:00|2023-04-02T01:15:00
River Lane|CTCR.1644|TQ14705710|514700|157100|51.3014772847438|-0.356087897012515|River Mole|Not discharging|False|2023-03-31T19:30:00|2023-03-31T20:15:00
Riverside|CSSA.0364|TQ51528192|551520|181920|51.5158874619806|0.182305673041656|Rainham Creek|Not discharging|False|2023-03-31T19:00:00|2023-04-01T00:15:00
Road A217, Burgh Heath|TEMP.2870|TQ241573|524100|157300|51.301305171686|-0.221248597935795|Unnamed Watercourse|Not discharging|False|2023-03-31T18:15:00|2023-03-31T19:00:00
Road A3, Roehampton Vale|TEMP.2871|TQ21477233|521470|172330|51.4369540053382|-0.253824249513904|Beverley Brook|Not discharging|False|2022-08-25T10:00:00|2022-08-25T10:30:00
Roding Valley|TEMP.1814|TQ435860|543500|186000|51.5546408730942|0.0684665464397075|River Roding|Not discharging|False|None|None
Rotherwick|TEMP.1825|SU718569|471800|156900|51.3066989790042|-0.971362487470225|Rotherwick Brook|Not discharging|False|2023-01-16T04:38:00|2023-01-16T14:56:00
Rowsham|CSSC.1419|SP84871769|484870|217690|51.8513618095264|-0.769234485687555|Rowsham Brook|Not discharging|False|2022-12-18T17:30:00|2022-12-18T21:15:00
Rusper|EPR/QB3796NW|TQ2017536545|520175|136545|51.1156033798683|-0.284468225295529|Tributary of Baldhorns Brook|Not discharging|False|2023-03-31T06:15:00|2023-03-31T11:00:00
Rye Meads|CLCR.0048|TL39481044|539480|210440|51.7752573158125|0.0202671775056767|Tributary of River Stort|Not discharging|False|2023-04-01T12:30:00|2023-04-01T13:45:00
Salfords, Surrey|CNTW.0279|TQ28084665|528080|146650|51.2047103940844|-0.167997137279878|Salfords Stream|Not discharging|False|2022-12-23T09:30:00|2022-12-23T10:45:00
Sandhurst|TEMP.2881|SU836609|483600|160900|51.3410494982524|-0.801182912337404|River Blackwater|Not discharging|False|2023-03-31T18:00:00|2023-04-01T19:30:00
Savoy Street|CSAB.0532|TQ30668063|530660|180630|51.5095003343282|-0.11861697005398|River Thames|Offline|False|None|None
Selborne|CTCR.0742|SU74583378|474580|133780|51.0984847701398|-0.936286108568785|Oakhanger Stream|Discharging|True|2023-04-04T09:45:00|None
Sevenhampton Village|CSSC.1425|SU20929005|420920|190050|51.6088986845884|-1.69929841290903|Tributary of River Cole|Discharging|True|2023-03-22T18:30:00|None
Shabbington|CSSC.1429|SP66240735|466240|207350|51.7609259808227|-1.04163705262231|Shabbington Brook|Not discharging|False|2023-03-31T08:00:00|2023-04-02T00:45:00
Shad, Thames|CSAB.0555|TQ33867994|533860|179940|51.5025514411403|-0.0727952041682806|River Thames|Not discharging|False|2023-01-08T22:45:00|2023-01-08T23:15:00
Shamley Green (Wonersh)|TEMP.2886|TQ02024380|502020|143800|51.1843356282496|-0.541692357521424|Cranleigh Waters|Not discharging|None|None|None
Sherfield-On-Loddon|TEMP.2891|SU67745862|467740|158620|51.3226594755477|-1.02927065426483|Bow Brook|Not discharging|True|2023-03-31T01:15:00|2023-04-03T02:45:00
Shotteswell|TEMP.2892|SP42824576|442820|245760|52.1085178698137|-1.37617819510058|Hanwell Brook|Not discharging|False|2023-03-31T19:30:00|2023-03-31T20:00:00
Shrivenham|TEMP.2893|SU246898|424600|189800|51.6065028906583|-1.64617543482063|Tuckmill Brook|Not discharging|True|2023-04-04T07:30:00|2023-04-04T11:15:00
Shutford|CSSC.1434|SP38834079|438830|240790|52.0641306537041|-1.43499925925425|Shutford Stream|Not discharging|True|2023-04-03T08:30:00|2023-04-03T09:45:00
Silchester|CNTW.0737|SU62306100|462300|161000|51.3446779297077|-1.10691219526559|Silchester Brook|Discharging|True|2023-03-22T08:15:00|None
Sloane Street, Raneleigh Gardens|CSAB.0577|TQ28297785|528290|177850|51.4850595945007|-0.153758586409735|River Thames|Not discharging|True|2023-04-03T10:44:00|2023-04-03T11:28:00
Slough|CNTM.2237|SU94377925|494370|179250|51.5043151223206|-0.64172650357937|Roundmoor Ditch|Offline|False|None|None
Smith Street|CSAB.0578|TQ28107779|528100|177790|51.4845634119113|-0.156515189365375|River Thames|Not discharging|False|None|None
Sonning Common|TEMP.2897|SU717794|471700|179400|51.5089900265054|-0.96825531861925|Groundwater|Not discharging|False|2023-03-31T21:15:00|2023-03-31T23:00:00
South Close, Barnet|CLCR.0177|TQ24889665|524880|196650|51.6547760839088|-0.19616774353199|Tributary of Pymmes Brook|Not discharging|None|None|None
South Ealing Road, W5|TEMP.1929|TQ180790|518000|179000|51.4976337391531|-0.301498075533668|River Brent|Not discharging|False|2022-05-11T09:26:00|2022-05-11T09:34:00
South Leigh|TEMP.2899|SP39460842|439460|208420|51.7730679772413|-1.42950881853179|Limb Brook|Discharging|True|2023-03-22T22:45:00|None
South Moreton|TEMP.2900|SU565883|456500|188300|51.5907265865304|-1.18582104169334|Mill Brook|Discharging|True|2023-03-31T04:45:00|None
South Norwood|CGLR.0019|TQ35176855|535170|168550|51.399885305622|-0.0582806491287871|Chaffinch Brook|Not discharging|False|2023-03-31T21:30:00|2023-03-31T22:15:00
South Park, Ilford|CANM.0918|TQ4515086450|545150|186450|51.5582625534723|0.0924349428812154|Loxford Water|Not discharging|False|2023-03-31T19:00:00|2023-03-31T22:45:00
Spooks Hill, North Holmwood|CTCR.1922|TQ16854750|516850|147500|51.2147556568644|-0.328394047753027|Tanners Brook (Bents Brook)|Not discharging|False|2022-12-23T08:45:00|2022-12-23T10:45:00
SSO, Junction Crane Valley/Bathroadse|TEMP.2904|TQ10057701|510050|177010|51.481349510955|-0.416595815093071|River Crane|Not discharging|False|2023-01-16T18:00:00|2023-01-16T18:30:00
St Andrews Road, Black Horse Lane|TEMP.2937|TQ358900|535800|190000|51.5924896615461|-0.0409824992778378|Dagenham Brook|Not discharging|False|2022-11-16T21:15:00|2022-11-16T21:45:00
St Jamess Road|TEMP.2938|TQ18016896|518010|168960|51.407396244694|-0.304699935218109|River Hogsmill|Not discharging|False|2022-10-23T22:36:00|2022-10-23T23:14:00
Stamford Brook|CSAB.0534|TQ22707831|522700|178310|51.4904329628293|-0.23406401859517|River Thames|Not discharging|False|2022-12-23T08:54:00|2022-12-23T10:14:00
Standlake|TEMP.2906|SP404023|440400|202300|51.7179785278989|-1.41659503358902|River Windrush|Discharging|True|2023-03-31T04:00:00|None
Standon|TEMP.2907|TL39722170|539720|221700|51.8763724048088|0.0282836059921385|River Rib|Not discharging|False|2023-04-01T11:30:00|2023-04-01T14:45:00
Stanford-In-The-Vale|CSSC.2317|SU34429291|434420|192910|51.6339520697662|-1.50407640448506|River Ock|Not discharging|False|2023-03-31T16:00:00|2023-04-01T19:30:00
Stansted Mountfitchet|TEMP.2910|TL50092427|550090|224270|51.8967703890991|0.179930405653083|River Stort|Not discharging|True|2023-04-03T11:30:00|2023-04-04T11:00:00
Stanton Harcourt|TEMP.2912|SP42190601|442190|206010|51.7512021966598|-1.39023713624203|Harcourt Brook|Discharging|True|2023-04-01T00:00:00|None
Stanton St John|TEMP.2913|SP586097|458600|209700|51.7829026688371|-1.15192484005106|Moorbridge Brook|Offline|False|None|None
Stewkley|CSSC.2368|SP84982486|484980|224860|51.9157947126751|-0.765874366043753|Hardwick Brook|Discharging|True|2023-04-04T08:45:00|None
Stone|CSSC.2319|SP78131062|478130|210620|51.7887907797394|-0.86865920434229|Scotsgrove Brook|Discharging|True|2023-03-23T23:30:00|None
Stonebridge Brook|CANM.0907|TQ34478870|534470|188700|51.5811263593408|-0.0606680560346812|Stonebridge Brook|Not discharging|False|2022-11-06T09:15:00|2022-11-06T12:00:00
Stonebridge SSO, Brockham|CSAC.0953|TQ19174964|519170|149640|51.2335107889124|-0.294482526923761|River Mole|Offline|False|None|None
Streatham & Balham Storm Relief|TEMP.2920|TQ271709|527100|170900|51.4228686873615|-0.173382395841293|River Graveney|Not discharging|False|2023-03-31T20:15:00|2023-03-31T22:00:00
Streatham Storm Relief|TEMP.2921|TQ290704|529000|170400|51.417946417599|-0.146252850911639|River Graveney|Not discharging|False|2023-03-31T20:15:00|2023-03-31T22:00:00
Streatham Vale Storm Relief|TEMP.2922|TQ29427007|529420|170070|51.4148851187473|-0.140336648180382|River Graveney|Not discharging|False|2023-03-31T14:15:00|2023-03-31T14:45:00
Sudbury Heights Ave, Allendale Road|TEMP.2944|TQ18018510|518010|185100|51.5524551971606|-0.299312732693112|Wembley Brook|Not discharging|False|None|None
Sunnyside Road|TEMP.2946|TQ446858|544600|185800|51.5525631631872|0.0842396661203093|Loxford Water|Not discharging|False|None|None
SW Storm Relief Sewer, London|CSAB.0556|TQ29557772|529550|177720|51.4836043690183|-0.135669990457189|River Thames|Not discharging|True|2023-03-31T14:54:00|2023-04-04T05:32:00
Swains Road|TEMP.2032|SU599615|459900|161500|51.3494307997456|-1.14128204237731|Silchester Brook|Not discharging|False|2022-11-02T20:45:00|2022-11-02T21:45:00
Swindon (Rodbourne)|CNTD.0017|SU12758601|412750|186010|51.5728165496328|-1.81742280922342|River Ray|Not discharging|True|2023-04-02T12:00:00|2023-04-02T13:15:00
Tackley|CAWM.0638|SP48182044|448180|220440|51.8804504485813|-1.30147021884627|Tributary of River Cherwell|Not discharging|None|None|None
Takeley|TEMP.2948|TL549210|554900|221000|51.8660778987854|0.248312907738481|Pincey Brook|Not discharging|True|2023-03-31T00:45:00|2023-04-02T22:15:00
Takeley - Garnetts|TEMP.2042|TL558216|555800|221600|51.8712178453248|0.261643713525424|Wayletts Ditch|Not discharging|False|2022-11-06T09:30:00|2022-11-06T17:00:00
Taylors Crescent, Cranleigh|TEMP.2966|TQ06723911|506720|139110|51.1413209811235|-0.475860322421601|Cranleigh Waters|Not discharging|False|2023-01-14T10:00:00|2023-01-14T13:45:00
Temple Place Essex Street|TEMP.2583|TQ31128079|531120|180790|51.510831729687|-0.111932912186193|River Thames|Not discharging|False|2023-03-31T20:10:00|2023-03-31T21:32:00
Tetsworth|TEMP.2949|SP68470247|468470|202470|51.7167882271042|-1.01028995312612|Latchford Brook|Not discharging|False|2023-04-01T14:45:00|2023-04-01T20:45:00
Thame|CTCR.1158|SP71150683|471150|206830|51.7556500794609|-0.970613319250424|Lashlake Stream|Not discharging|True|2023-04-02T10:00:00|2023-04-02T23:45:00
The Broadway (Ray Park 2)|CANM.0716|TQ41539102|541530|191020|51.6002459808204|0.0420916625919533|River Roding|Not discharging|False|2022-08-17T15:30:00|2022-08-17T17:45:00
The Willows, North Hinksey Lane|TEMP.2973|SP49510553|449510|205530|51.7462891852513|-1.28427610256189|Seacourt Stream|Not discharging|False|2023-03-31T13:45:00|2023-04-01T23:45:00
Therfield|CATM.3095|TL34273470|534270|234700|51.9945223804245|-0.0457676664922233|River Rib|Not discharging|False|2023-03-31T16:30:00|2023-04-02T04:30:00
Theydon Bois|TEMP.2954|TQ476977|547600|197700|51.6587094922245|0.132482926615862|Brookhouse Brook|Not discharging|False|2023-04-02T09:30:00|2023-04-02T11:45:00
Thornwood|EPR/FB3198EZ|TL477050|547700|205000|51.7242731559697|0.137015057662688|Cripsey Brook|Not discharging|True|2023-04-02T12:45:00|2023-04-02T13:30:00
Tideway CSO (Offline)|EPR.BP3220XF|TQ45488151|545480|181510|51.5137898055291|0.0951523375476308|River Thames|Offline|False|None|None
Tring|TEMP.2961|SP924132|492400|213200|51.8098093715397|-0.661139588301039|Marsworth Reservoir (Grand Union Canal)|Not discharging|None|None|None
Trumpers Way, W7|TEMP.2125|TQ150790|515000|179000|51.498251378964|-0.344696070607113|River Brent|Not discharging|False|2023-03-31T20:16:00|2023-03-31T21:58:00
Trumps Green|TEMP.2126|SP959101|495900|210100|51.7813567149913|-0.611243993933253|River Bulborne|Not discharging|None|None|None
Uffington|TEMP.2979|SU301896|430100|189600|51.6044386527232|-1.56677554788491|Uffington Brook|Discharging|True|2023-04-04T08:45:00|None
Upper Richmond Road, Priests Bridge|TEMP.2982|TQ21507553|521500|175530|51.4657071159749|-0.252294969807224|Beverley Brook|Not discharging|False|2023-03-31T20:30:00|2023-03-31T23:00:00
Vauxhall Motors|TEMP.2984|TL09912073|509910|220730|51.8743203830013|-0.404864098303086|Feeder to River Lee|Not discharging|False|2022-11-23T09:45:00|2022-11-23T10:30:00
Waddesdon|CNTD.0052|SP74881795|474880|217950|51.8551265276163|-0.914186353983153|Fleet Marston Brook|Not discharging|True|2023-03-31T07:00:00|2023-04-03T00:30:00
Wanborough|CSCC.2327|SU20168450|420160|184500|51.5590249877704|-1.71059001865574|Liden Brook|Discharging|True|2023-03-30T22:30:00|None
Wandle Valley|CSAB.0546|TQ25947545|525940|175450|51.4640184839503|-0.188439602626589|River Thames|Not discharging|False|2022-04-06T13:04:00|2022-04-07T18:18:00
Wantage|TEMP.2989|SU407917|440700|191700|51.6226551717489|-1.41348421691023|Letcombe Brook|Not discharging|True|2023-04-04T06:00:00|2023-04-04T09:15:00
Wardington|CTCR.1833|SP49134701|449130|247010|52.1192319254693|-1.28387003231868|Tributary of River Cherwell|Not discharging|False|2023-03-31T18:15:00|2023-03-31T18:45:00
Wargrave|CTCR.2079|SU77637735|477630|177350|51.4897786570145|-0.883276184082253|River Loddon|Not discharging|True|2023-04-03T09:30:00|2023-04-03T10:00:00
Warmington|TEMP.2991|SP41504798|441500|247980|52.1285760425578|-1.39518104734371|Hanwell Brook|Not discharging|False|2023-03-31T15:45:00|2023-03-31T22:30:00
Washwater|TEMP.2994|SU45406270|445400|162700|51.3615606901232|-1.34931817229987|Pound Street Brook|Not discharging|True|2023-04-04T07:15:00|2023-04-04T10:15:00
Water End|TEMP.2184|SU694533|469400|153300|51.2746306562252|-1.00648512621428|River Lyde|Not discharging|False|2023-02-10T18:45:00|2023-02-10T19:15:00
Watery Lane, Startops End|CNTM.0145|SP91781419|491780|214190|51.8188100472153|-0.66986812865803|Tring Bourne|Not discharging|None|None|None
Watlington|TEMP.2997|SU674954|467400|195400|51.6533591610401|-1.02713882727037|Pyrton Stream|Not discharging|False|2022-11-17T14:30:00|2022-11-17T19:30:00
Waverley Lane|CNTM.1423|SU86024602|486020|146020|51.2069216906331|-0.770025212142545|Bourne Stream|Not discharging|False|2023-03-31T02:00:00|2023-04-02T04:45:00
Wealdbridge, North Weald|TEMP.2197|TL510064|551000|206400|51.7359734043317|0.185362454522869|Cripsey Brook|Offline|False|None|None
West End, Essendon|TEMP.2200|TL268086|526800|208600|51.7617357837096|-0.164085112994453|Wood Hill Brook|Not discharging|False|2023-01-14T10:15:00|2023-01-14T20:45:00
West Heath Ramsdell|NPSWQD001561|SU59365837|459360|158370|51.3213463822934|-1.14955567918042|Tributary of Bow Brook|Not discharging|True|2023-04-03T17:00:00|2023-04-03T19:30:00
West Putney S R, Horne Way|TEMP.2986|TQ234762|523400|176200|51.4713178453282|-0.224723157627427|River Thames|Not discharging|None|None|None
West Way, Botley (Syphon)|TEMP.3035|SP48630623|448630|206230|51.7526593584894|-1.29692370599962|Seacourt Stream|Not discharging|False|2023-03-31T16:30:00|2023-04-01T15:00:00
Western PS Low Lever Sewer|CSAB.0538|TQ28647792|528640|177920|51.48560924228|-0.148695232025545|River Thames|Not discharging|False|2023-03-29T19:45:00|2023-03-29T21:45:00
Western Way|TEMP.3036|TQ25369508|525360|195080|51.6405601614143|-0.18979483292522|Dollis Brook|Not discharging|False|2023-03-31T19:30:00|2023-03-31T22:15:00
Weston (Herts)|TEMP.3001|TL27552961|527550|229610|51.9503661484102|-0.145477059067961|Weston Tributary |Not discharging|True|2023-03-31T10:30:00|2023-04-02T23:45:00
Weston-On-The-Green SPS|TEMP.2220|SP537174|453700|217400|51.8526174955248|-1.22175756269684|Gallos Brook|Not discharging|False|None|None
Weston-On-The-Green STW|TEMP.3002|SP53651747|453650|217470|51.8532515999062|-1.22247257727925|Gallos Brook|Not discharging|False|2023-03-31T07:15:00|2023-04-02T03:00:00
Westway Close|TEMP.2223|TQ228687|522800|168700|51.4040435866586|-0.235956013611411|Old Pyl Ditch|Offline|False|None|None
Weybridge|CTCR.0944|TQ06776314|506770|163140|51.3573089145046|-0.46798524766525|River Wey|Discharging|True|2023-03-31T09:15:00|None
Wheatley|CSSC.2332|SP60730515|460730|205150|51.7417714746099|-1.12184550886679|Wheatley Ditch|Not discharging|True|2023-04-03T07:15:00|2023-04-04T00:15:00
White Roding|CSSC.1455|TL56931368|556930|213680|51.7997492921907|0.274454487534053|Tributary of River Roding|Not discharging|True|2023-04-03T21:00:00|2023-04-03T21:30:00
White Waltham|TEMP.3007|SU865777|486500|177700|51.491639415844|-0.755465443894344|Heywood Stream|Not discharging|None|None|None
Whitwell|TEMP.3008|TL19162074|519160|220740|51.8725127787951|-0.270559584065816|River Mimram|Not discharging|False|2022-11-17T00:00:00|2022-11-17T01:15:00
Widford And Wareside|CLCR.0090|TL41671629|541670|216290|51.827271355298|0.0543762450057863|River Ash|Not discharging|False|2023-04-01T08:45:00|2023-04-01T10:45:00
Willingale|CSSC.1456|TL58950707|558950|207070|51.7397964766638|0.300701599674649|Tributary of River Roding|Not discharging|False|2023-01-22T18:30:00|2023-01-22T23:30:00
Windsor|TEMP.3014|SU997750|499700|175000|51.4651992454848|-0.566156631991493|River Thames|Not discharging|True|2023-04-03T23:06:00|2023-04-03T23:14:00
Wingrave|CSSC.2320|SP86491872|486490|218720|51.8603719069683|-0.745463395429434|Tributary of Rowsham Brook|Discharging|True|2023-04-04T06:30:00|None
Winterbourne|TEMP.3016|SU45557208|445550|172080|51.4458845490519|-1.34596249710674|Winterbourne Stream|Not discharging|False|2022-12-13T01:30:00|2022-12-13T10:30:00
Witney|CATM.3134|SP34640841|434640|208410|51.773296127934|-1.49936292597298|Curbridge Ditch|Discharging|True|2023-03-31T03:00:00|None
Woking|CASM.0308|TQ03275752|503270|157520|51.3074386106479|-0.519860440283044|Guiness Ditch|Not discharging|False|2023-03-31T17:00:00|2023-04-01T23:30:00
Wood Street|CSAB.0564|TQ30297922|530290|179220|51.4969145318802|-0.124465826982521|River Thames|Not discharging|False|2023-03-31T20:58:00|2023-03-31T21:38:00
Woodford Halse|CTCR.1853|SP53605213|453600|252130|52.1648445095168|-1.21778616357127|River Cherwell|Not discharging|False|2023-03-31T16:30:00|2023-04-01T00:00:00
Woodstock|CSSC.2321|SP44961780|444960|217800|51.8569842890945|-1.3485882808973|River Glyme|Not discharging|True|2023-03-30T16:15:00|2023-04-04T11:15:00
Worcester Crescent|AB3890DU|TQ41929219|541920|192190|51.6106610314211|0.0481919400388552|River Roding|Not discharging|False|2023-03-31T08:45:00|2023-04-01T13:15:00
Worminghall|CTCR.1975|SP650091|465000|209100|51.7768032455747|-1.05927411171914|Worminghall Brook|Not discharging|True|2023-04-02T23:00:00|2023-04-02T23:30:00
Worple Road, SW19|TEMP.3044|TQ21826989|521820|169890|51.4149497253427|-0.249629511257783|Beverley Brook|Offline|False|None|None
Wynters Brook, Hastingwood|TEMP.2279|TL489078|548900|207800|51.749113331746|0.155572578973027|Shonks Brook|Not discharging|False|2023-03-30T14:15:00|2023-04-01T21:30:00
